iter	Passed	Remaining
944	2703	157
945	2707	154
946	2709	151
947	2711	148
948	2713	145
949	2714	142
950	2716	139
951	2717	137
952	2719	134
953	2723	131
954	2728	128
955	2731	125
956	2733	122
957	2735	119
958	2740	117
959	2742	114
960	2744	111
961	2746	108
962	2748	105
963	2750	102
964	2753	99
965	2755	96
966	2756	94
967	2758	91
968	2759	88
969	2761	85
970	2762	82
971	2764	79
972	2765	76
973	2768	73
974	2770	71
975	2772	68
976	2774	65
977	2776	62
978	2777	59
979	2780	56
980	2782	53
981	2785	51
982	2787	48
983	2790	45
984	2791	42
985	2793	39
986	2795	36
987	2796	33
988	2800	31
989	2803	28
990	2805	25
991	2807	22
992	2809	19
993	2811	16
994	2812	14
995	2816	11
996	2818	8
997	2820	5
998	2822	2
999	2823	0
